Close,High,Low,Open,Volume
26.891965866088867,26.933640958633696,26.570142227266256,26.81093145458995,115127600
26.861860275268555,26.975310193147635,26.799348533235378,26.822500964861838,84472400
26.99846649169922,27.05634846226432,26.81324347932387,26.83871168768592,88774400
27.299448013305664,27.35732997235372,26.966047363935353,27.037820427901433,127007600
27.54949951171875,27.651372335168624,27.306396319055263,27.308710325830116,134247600
27.57728385925293,27.63979560493955,27.389746855775652,27.498563467421448,97848400
27.725461959838867,27.767137046385095,27.459204560594507,27.491618320528524,110354400
27.609697341918945,27.62127444150138,27.36890815522688,27.528662944094066,108344800
27.561073303222656,27.695359869576475,27.507821124697116,27.57728018078831,104447600
27.783344268798828,27.83891046273954,27.37122494477177,27.3990071585334,137759200
27.781028747558594,27.899108456369163,27.71620122630337,27.78334452086556,94852000
27.73240852355957,27.804181599397285,27.637483013556544,27.644428567164386,102389200
27.783344268798828,27.887531103239844,27.720832521417712,27.887531103239844,130391600
27.801860809326172,27.970875127272286,27.730085984582704,27.783338159946112,88200800
27.776395797729492,27.806493781615583,27.667577428146835,27.679154526943094,92844000
28.21861457824707,28.269550989419262,27.848170360291196,27.880584118961252,129510400
28.23250961303711,28.34827355041526,28.153789217082867,28.169996097659105,105350400
28.234821319580078,28.327432815220735,28.153786923301013,28.278812177453297,82251600
28.16073989868164,28.16073989868164,27.936159303063302,27.998671063407002,121510000
28.095903396606445,28.105164722297122,27.92688906039904,28.04959853457032,196804000
29.80921173095703,30.212071475879405,29.406353752452027,29.410983532390475,447940000
29.75827407836914,29.957388169347634,29.58462819203329,29.63093482157323,134841600
29.8856143951416,29.911082599182222,29.672609203544823,29.707336966857255,98029200
30.165769577026367,30.214391992151015,29.84394592623948,29.89719988871779,107383600
30.452852249145508,30.58250725614017,30.202801793012668,30.223638447815244,152735200
30.57093048095703,30.612607323834816,30.381079513812065,30.411179259621907,92016400
30.791841506958008,30.798817172796134,30.489549644083812,30.612791138092668,113399600
30.72208023071289,30.912757885386398,30.705804860374457,30.80114368771121,80262000
30.994144439697266,31.117389487930094,30.868578900272723,30.945314776424482,92141600
31.396419525146484,31.412694893092908,30.98483757476123,31.035994813708587,132904800
31.510366439819336,31.687092786092467,31.303413388119353,31.512694027418824,142492400
31.473159790039062,31.60104935716208,31.35456637944313,31.547568071920562,90338400
31.559194564819336,31.58477318722657,31.41502608297015,31.41502608297015,88792800
31.787076950073242,31.798704242607606,31.619653872402637,31.677786786922944,98028800
31.882417678833008,31.884741718217583,31.64988600691333,31.72429429688873,83347600
31.7475528717041,31.968457278149096,31.694071573926344,31.9452062369272,83152800
31.77776527404785,31.77776527404785,31.456870571370374,31.603366596184035,87106400
31.840564727783203,31.95915816839365,31.68942053848438,31.889397947120255,81029600
31.854515075683594,31.959153618621002,31.78707890373051,31.875442074640727,93931600
32.50559997558594,32.58931151713457,31.996358608329384,32.06379123017195,145658400
32.31259536743164,32.61953525975818,32.26608620506771,32.554426690229796,104844000
32.50328063964844,32.5149079342422,32.22656734981671,32.27074894038173,84432400
32.400962829589844,32.50095329514616,32.22889166044683,32.40793849600635,87000000
32.44282150268555,32.54978409022043,32.27307081891842,32.33585536699875,69785200
32.321903228759766,32.50792928071393,32.28004922984979,32.310275935234166,74828800
32.24748992919922,32.27306855453713,31.868465724112323,32.26144480968944,88623600
32.354461669921875,32.40561892947196,32.238195816063,32.38004029969692,78451200
32.368412017822266,32.421893315484155,32.28005238432701,32.28702805149368,69686800
32.319580078125,32.473048293167224,32.28469819658892,32.391664332553546,61236400
32.661407470703125,32.728840109386155,32.328885260786926,32.417248451197985,102767200
32.714881896972656,32.79161777543875,32.61489143176467,32.721857563364864,76928000
32.55210494995117,32.786960624608625,32.52885036712715,32.786960624608625,175540000
32.893924713134766,32.90322441680115,32.60790826424229,32.6474382140886,86168000
32.517234802246094,33.20553025313038,32.49165617117585,33.045082798976296,158119600
32.88462829589844,32.92648584147403,32.498624872725685,32.51955541958933,103440800
32.76836013793945,32.92183188058332,32.69627589316318,32.847420048458496,81385200
32.703250885009766,32.959037117478715,32.6358182681687,32.903228244535114,89582400
32.75906753540039,32.8381274630602,32.233543614497925,32.41259401973519,94300400
33.438045501708984,33.49385081608098,32.69859315292367,32.76602930532411,133499200
33.5124626159668,33.59850174525175,33.29620986939336,33.410148115077654,116760000
33.46826934814453,33.60081405479467,33.368282469640384,33.528729831100904,84829200
33.40549087524414,33.54733529473142,33.2543432046901,33.4194422036936,78646800
33.4148063659668,33.51246925940738,33.26366217215092,33.41713395390856,79942800
33.663604736328125,33.69150739624438,33.29155271273978,33.3101556687343,79565600
33.48920822143555,33.82405435509068,33.44037501521447,33.535713840409585,110871600
33.40549087524414,33.60546819537128,33.35665767752036,33.55198337211412,84596000
33.33108901977539,33.52641477273913,33.31481364777095,33.421776229947966,66688800
33.29156494140625,33.45666401890747,33.228780385381576,33.39155542308646,75733600
32.93346405029297,33.333418836818296,32.568387597646954,33.23807999334554,121517600
32.97298812866211,33.054372075911374,32.78928614126693,32.92648250906948,81400000
32.79859924316406,33.10786685114441,32.79859924316406,32.998576660799756,71291600
32.9799690246582,32.991596318438226,32.756737047798204,32.898581516349935,66328400
32.833473205566406,33.02879896936947,32.812546205477204,32.88230642059314,58790000
32.712554931640625,33.019498451343466,32.65907363889914,32.991595785243874,69313600
33.121822357177734,33.23343660140167,32.82418200714534,32.83813334415422,93278400
33.082279205322266,33.177614486282906,32.984616337018956,33.12180916048184,69283600
33.40085220336914,33.47293646041447,33.29388606352145,33.368297908311504,68537200
