S.No.,Company,Ticker,Sector,Country
89,"Edag Engineering G.Sf-,04",ED4.DE,Auto Parts & Equipment,Switzerland
90,Einhell Germany Vzo O.N.,EIN3.DE,Home Construction & Furnishings,Germany
91,Elmos Semiconductor Inh O.N.,ELG.DE,Semiconductors,Germany
92,Elringklinger Ag Na O.N.,ZIL2.DE,Auto Parts & Equipment,Germany
93,Elumeo Se,ELB.DE,"Retail, Internet",Germany
94,Encavis Ag Inh. O.N.,ECV.DE,Diversified Financial,Germany
95,Evonik Industries Ag Na O.N.,EVK.DE,"Chemicals, Specialty",Germany
96,Evotec Se Inh O.N.,EVT.DE,Biotechnology,Germany
97,Exceet Group Sca Red. A,EXC.DE,Electronic Components & Hardware,Luxembourg
98,Fabasoft Ag,FAA.DE,Software,Austria
99,Fielmann Ag O.N.,FIE.DE,"Retail, Specialty",Germany
100,First Sensor Ag O.N.,SIS.DE,Semiconductors,Germany
101,Flatexdegiro Ag Na O.N.,FTK.DE,Securities Brokers,Germany
102,Fortec Elektro. O.N.,FEV.DE,Electronic Components & Hardware,Germany
103,Francotyp-Postalia Hldg,FPH.DE,Industrial Machinery,Germany
104,Fraport Ag,FRA.DE,Transportation Services,Germany
105,Freenet Ag Na O.N.,FNTN.DE,Wireless Communication,Germany
106,Fresenius Medical Care Kgaa O.N.,FME.DE,Health Care,Germany
107,Fresenius Se+Co.Kgaa O.N.,FRE.DE,Health Care,Germany
108,Friedrich Vorwerk Group Se,VH2.DE,Industrial Products & Services,Germany
109,Fuchs Se O.N.,FPE.DE,"Chemicals, Specialty",Germany
110,Fuchs Se Vzo O.N.,FPE3.DE,"Chemicals, Specialty",Germany
111,Gateway R.Est.Ag O.N.,GTY.DE,Real Estate,Germany
112,Gea Group Ag,G1A.DE,"Industrial, Diversified",Germany
113,Gerresheimer Ag,GXI.DE,Health Care,Germany
114,Gesco Se Na O.N.,GSC1.DE,"Industrial, Diversified",Germany
115,Gft Technologies Se,GFT.DE,IT-Services,Germany
116,"Global Fashion Grp Eo-,01",GFG.DE,"Retail, Internet",Luxembourg
117,Grammer Ag O.N.,GMM.DE,Auto Parts & Equipment,Germany
118,"Grand City Propert.Eo-,10",GYC.DE,Real Estate,Luxembourg
119,Grenke Ag Na O.N.,GLJ.DE,Diversified Financial,Germany
120,H+R Kgaa Inh. O.N.,2HRA.DE,"Chemicals, Specialty",Germany
121,Haier Smart Home Co.D Yc1,690D.DE,Household Appliances & Housewares,China
122,Hamborner Reit Ag O.N.,HABA.DE,Real Estate,Germany
123,Hamburger Hafen Und Logistik A-Sp Na,HHFA.DE,Transportation Services,Germany
124,Hannover Rueck Se Na O.N.,HNR1.DE,Re-Insurance,Germany
125,Hapag-Lloyd Ag Na O.N.,HLAG.DE,Logistics,Germany
126,Hawesko Holding Se,HAW.DE,"Retail, Food & Drug",Germany
127,Heidelberg Materials Ag O.N.,HEI.DE,Building Materials,Germany
128,Heidelberg Pharma Ag O.N.,WL6.DE,Biotechnology,Germany
129,Heidelberger Druckmaschinen Ag .O.N.,HDD.DE,Industrial Machinery,Germany
130,Hella Gmbh+Co.Kgaa,HLE.DE,Auto Parts & Equipment,Germany
131,Hellofresh Se Inh O.N.,HFG.DE,"Retail, Internet",Germany
132,Henkel Ag+Co.Kgaa St O.N.,HEN.DE,Personal Products,Germany
133,Henkel Ag+Co.Kgaa Vzo,HEN3.DE,Personal Products,Germany
134,Hensoldt Ag Na O.N.,HAG.DE,Semiconductors,Germany
135,Hgears Ag,A3CMGN.DE,Auto Parts & Equipment,Germany
136,Highlight Communications Ag Inh.Sf 1,HLG.DE,Movies & Entertainment,Switzerland
137,Hochtief Ag,HOT.DE,Construction & Engineering,Germany
138,Hometogo Se,LRS1.DE,"Retail, Internet",Luxembourg
139,Hornbach Holding St O.N.,HBH.DE,"Retail, Specialty",Germany
140,Hugo Boss Ag Na O.N.,BOSS.DE,Clothing & Footwear,Germany
141,Hypoport Se Na O.N.,HYQ.DE,Diversified Financial,Germany
142,Indus Holding Ag,INH.DE,"Industrial, Diversified",Germany
143,Infineon Tech.Ag Na O.N.,IFX.DE,Semiconductors,Germany
144,Init Innovation O.N.,IXX.DE,Electronic Components & Hardware,Germany
145,Instone Real Estate Group Se,INS.DE,Real Estate,Germany
146,Intershop Communications Inh O.N.,ISH2.DE,Internet,Germany
147,Intica Systems Se,IS7.DE,Electronic Components & Hardware,Germany
148,Invision Ag,IVX.DE,Software,Germany
149,Ionos Group Se Na O.N.,IOS.DE,Internet,Germany
150,Ivu Traffic Techn.Ag O.N.,IVU.DE,IT-Services,Germany
151,Jenoptik Ag Na O.N.,JEN.DE,Advanced Industrial Equipment,Germany
152,Jost Werke Se Inh. O.N.,JST.DE,Auto Parts & Equipment,Germany
153,Jungheinrich Ag O.N.Vzo,JUN3.DE,Industrial Machinery,Germany
154,K+S Ag Na O.N.,SDF.DE,"Chemicals, Commodity",Germany
155,Katek Se,KTEK.DE,Auto Parts & Equipment,Germany
156,Kion Group Ag,KGX.DE,Heavy Machinery,Germany
157,Kloeckner + Co Se Na O.N.,KCO.DE,Industrial Products & Services,Germany
158,Knaus Tabbert Ag Na O.N.,KTA.DE,Automobile Manufacturers,Germany
159,Knorr-Bremse Ag Inh O.N.,KBX.DE,"Industrial, Machinery",Germany
160,Koenig + Bauer Ag St O.N.,SKB.DE,Industrial Machinery,Germany
161,Kontron Ag O.N,KTN.DE,Electronic Components & Hardware,Austria
162,Kps Ag Na O.N.,KSC.DE,IT-Services,Germany
163,Krones Ag O.N.,KRN.DE,Industrial Machinery,Germany
164,Kws Saat Kgaa Inh O.N.,KWS.DE,Industrial Products & Services,Germany
165,Lanxess Ag,LXS.DE,"Chemicals, Specialty",Germany
166,Leg Immobilien Se,LEG.DE,Real Estate,Germany
167,Leifheit Ag O.N.,LEI.DE,Household Appliances & Housewares,Germany
168,Logwin Ag Nam. O.N.,TGHN.DE,Logistics,Luxembourg
169,Lpkf Laser+Electronics Se,LPK.DE,Advanced Industrial Equipment,Germany
170,Ludw.Beck A.Rathauseck,ECK.DE,"Retail, Multiline",Germany
171,Lufthansa Ag Vna O.N.,LHA.DE,Airlines,Germany
172,Manz Ag,M5Z.DE,Advanced Industrial Equipment,Germany
173,Masterflex O.N.,MZX.DE,Industrial Products & Services,Germany
174,Max Automation Se Na O.N.,MXHN.DE,"Industrial, Diversified",Germany
175,Mbb Se O.N.,MBB.DE,"Industrial, Diversified",Germany
176,Mediclin Ag,MED.DE,Health Care,Germany
177,Medigene Ag Na O.N.,MDG1.DE,Biotechnology,Germany
178,Medios Ag O.N.,ILM1.DE,Pharmatceuticals,Germany
179,Mercedes Benz Group Ag,MBG.DE,Automobile Manufacturers,Germany
180,Merck Kgaa O.N.,MRK.DE,Pharmatceuticals,Germany
181,Metro Ag St O.N.,B4B.DE,"Retail, Multiline",Germany
182,Metro Ag Vzo O.N.,B4B3.DE,"Retail, Multiline",Germany
183,Mister Spex Se,MRX.DE,"Retail, Internet",Germany
184,Mlp Se Inh. O.N.,MLP.DE,Diversified Financial,Germany
185,Morphosys Ag O.N.,MOR.DE,Biotechnology,Germany
186,Mtu Aero Engines Na O.N.,MTX.DE,Heavy Machinery,Germany
187,Muench.Rueckversicherungs Gesellschaft.Vna O.N.,MUV2.DE,Re-Insurance,Germany
188,Multitude Se,FRU.DE,Diversified Financial,Finland
189,Mutares Kgaa Na O.N.,MUX.DE,Private Equity & Venture Capital,Germany
190,Mvv Energie Ag Na O.N.,MVV1.DE,Multi-Utilities,Germany
191,Nagarro Se Na O.N.,NA9.DE,IT-Services,Germany
192,Nemetschek Se O.N.,NEM.DE,Software,Germany
193,New Work Se Na O.N.,NWO.DE,Internet,Germany
194,Nexus Ag O.N.,NXU.DE,Software,Germany
195,Nfon Ag Inh O.N.,NFN.DE,Wireless Telecommunication,Germany
196,Nordex Se O.N.,NDX1.DE,Renewable Energies,Germany
197,Norma Group Se Na O.N.,NOEJ.DE,Industrial Products & Services,Germany
198,Novem Group S.A.,NVM.DE,Auto Parts & Equipment,Luxembourg
199,Ohb Se O.N.,OHB.DE,Communications Technology,Germany
200,Ovb Holding Ag,O4B.DE,Diversified Financial,Germany
201,Paragon Kgaa Inh O.N.,PGN.DE,Auto Parts & Equipment,Germany
202,Patrizia Se Na On,PAT.DE,Real Estate,Germany
203,Pfeiffer Vacuum Tech. Ag O.N.,PFV.DE,Advanced Industrial Equipment,Germany
204,Pharmasgp Holding Se O.N.,PSG.DE,Pharmaceuticals,Germany
205,Pne Ag Na O.N.,PNE3.DE,Renewable Energies,Germany
206,Procredit Holding Ag Na Eo 5,PCZ.DE,Credit Banks,Germany
207,Prosiebensat.1 Media Se Na O.N.,PSM.DE,Broadcasting,Germany
208,Psi Software Se,PSAN.DE,Software,Germany
209,Puma Se,PUM.DE,Clothing & Footwear,Germany
210,Pva Tepla Ag O.N.,TPE.DE,Advanced Industrial Equipment,Germany
211,Pwo Ag,PWO.DE,Auto Parts & Equipment,Germany
212,Q.Beyond Ag Na O.N.,QSC.DE,Communications Technology,Germany
213,"Qiagen Nv Eo -,01",QIA.DE,Biotechnology,Netherlands
214,R. Stahl Ag Na O.N.,RSL2.DE,Industrial Products & Services,Germany
215,Rational Ag,RAA.DE,Industrial Products & Services,Germany
216,Redcare Pharmacy N.V.,RDC.DE,"Retail, Internet",Netherlands
217,Rheinmetall Ag,RHM.DE,"Industrial, Diversified",Germany
218,Rhoen-Klinikum O.N.,RHK.DE,Health Care,Germany
219,Rtl Group,RRTL.DE,Broadcasting,Luxembourg
220,Rwe Ag Inh O.N.,RWE.DE,Multi-Utilities,Germany
221,Saf Holland Se Inh Eo 1,SFQ.DE,Industrial Machinery,Luxembourg
222,Salzgitter Ag O.N.,SZG.DE,Steel & Other Metals,Germany
223,Sap Se O.N.,SAP.DE,Software,Germany
224,Sartorius Ag O.N.,SRT.DE,Biotechnology,Germany
225,Sartorius Ag Vzo O.N.,SRT3.DE,Biotechnology,Germany
226,Schaeffler Ag Inh. Vzo,SHA.DE,Auto Parts & Equipment,Germany
227,Schott Pharma Ag & Co. Kgaa,1SXP.DE,HealthCare,Germany
228,Scout24 Ag Na O.N.,G24.DE,Advertising,Germany
229,Secunet Security Ag O.N.,YSN.DE,IT-Services,Germany
230,Serviceware Se Inh O.N.,SJJ.DE,Software,Germany
231,Sfc Energy Ag,F3C.DE,Renewable Energies,Germany
232,Sgl Carbon Se O.N.,SGL.DE,"Chemicals, Specialty",Germany
233,Shelly Group Plc,SLYG .DE,Communications Technology,Bulgaria
234,Siemens Ag Na O.N.,SIE.DE,"Industrial, Diversified",Germany
235,Siemens Energy Ag Na O.N.,ENR.DE,Industrial,Germany
236,Siemens Health.Ag Na O.N.,SHL.DE,Medical Technology,Germany
237,Siltronic Ag Na O.N.,WAF.DE,Semiconductors,Germany
238,Singulus Technol. Eo 1,SNG.DE,Advanced Industrial Equipment,Germany
239,Sixt Se St O.N.,SIX2.DE,Transportation Services,Germany
240,Sixt Se Vzo O.N.,SIX3.DE,Transportation Services,Germany
241,Sma Solar Technol.Ag,S92.DE,Renewable Energies,Germany
242,Snp Schneider-Neureither O.N.,SHF.DE,IT-Services,Germany
243,Softing Ag O.N.,SYT.DE,IT- Services,Germany
244,Software Ag Na O.N.,SOW.DE,Software,Germany
245,"Stabilus Se Inh. Eo-,01",STM.DE,Industrial Machinery,Luxembourg
246,Stemmer Imaging Ag Inh On,S9I.DE,IT-Services,Germany
247,Stratec Se Na O.N.,SBS.DE,Medical Technology,Germany
248,Stroeer Se + Co. Kgaa,SAX.DE,Advertising,Germany
249,Suedzucker Ag O.N.,SZU.DE,Food,Germany
250,Suess Microtec Se Na O.N.,SMHN.DE,Semiconductors,Germany
251,Surteco Group Se Inh O.N.,SUR.DE,Forest & Paper Products,Germany
252,Symrise Ag Inh. O.N.,SY1.DE,"Chemicals, Specialty",Germany
253,Synlab Ag,SYAB.DE,Health Care,Germany
254,Syzygy Ag O.N.,SYZ.DE,IT-Services,Germany
255,Tag Immobilien Ag,TEG.DE,Real Estate,Germany
256,Takkt Ag O.N.,TTK.DE,"Retail, Catalog",Germany
257,Talanx Ag Na O.N.,TLX.DE,Re-Insurance,Germany
258,Teamviewer Se Inh O.N.,TMV.DE,Software,Germany
259,Technotrans Se Na O.N.,TTR1.DE,Advanced Industrial Equipment,Germany
260,Telefonica Deutschland Holding Na,O2D.DE,Wireless Communication,Germany
261,Teles Ag Informationstechnologien On,TLIK.DE,Internet,Germany
262,Thyssenkrup Nucera Ag & Kgaa,NCH2 .DE,Renewable Energies,Germany
263,Thyssenkrupp Ag O.N.,TKA.DE,"Industrial, Diversified",Germany
264,Tonies Se,SPAC.DE,"Leisure, Goods & Services",Luxembourg
265,Traton Se Inh O.N.,8TRA.DE,Heavy Machinery,Germany
266,Uniper Se Na O.N.,UN01.DE,Multi-Utilities,Germany
267,United Labels O.N.,ULC.DE,"Retail, Specialty",Germany
268,Usu Software Ag,OSP2.DE,Software,Germany
269,Utd.Internet Ag Na,UTDI.DE,Internet,Germany
270,Varta Ag O.N.,VAR1.DE,Advanced Industrial Equipment,Germany
271,Verbio Ver.Bioenergie On,VBK.DE,Renewable Energies,Germany
272,Villeroy + Boch Ag Vz,VIB3.DE,Household Appliances & Housewares,Germany
273,Viscom Ag O.N.,V6C.DE,Advanced Industrial Equipment,Germany
274,Vita 34 Ag Na O.N.,V3V.DE,Healthcare,Germany
275,Vitesco Technologies Group Ag,VTSC.DE,Auto Parts & Equipment,Germany
276,Volkswagen Ag St O.N.,VOW.DE,Automobile Manufacturers,Germany
277,Volkswagen Ag Vzo O.N.,VOW3.DE,Automobile Manufacturers,Germany
278,Voltabox Ag Inh. O.N.,VBX.DE,Advanced Industrial Equipment,Germany
279,Vonovia Se Na O.N.,VNA.DE,Real Estate,Germany
280,Vossloh Ag O.N.,VOS.DE,Industrial Products & Services,Germany
281,Vulcan Energy Resources Limited,VUL.DE,"Chemicals, Specialty",Australia
282,Wacker Chemie Ag O.N.,WCH.DE,"Chemicals, Specialty",Germany
283,Wacker Neuson Se Na O.N.,WAC.DE,Industrial Machinery,Germany
284,Washtec Ag O.N.,WSU.DE,Industrial Machinery,Germany
285,Westwing Group Inh. O.N.,WEW.DE,"Retail, Internet",Germany
286,Wuestenrot+Wuerttembergische Ag O.N.,WUW.DE,Mortgage Banks,Germany
287,Yoc Ag O.N.,YOC.DE,Telecommunication Services,Germany
288,Zalando Se,ZAL.DE,"Retail,Internet",Germany
289,Zeal Network Se Na O.N.,TIMA.DE,"Retail, Internet",Germany
